Judul,Deskripsi Pengaduan
Jalan Berlubang di Depan Rumah (Blok B),Jalan di depan rumah kami berlubang cukup besar dan sering menyebabkan kecelakaan kecil. Mohon segera diperbaiki.Posisinya berada di blok B depan rumah no.13
Lampu Jalan di Depan Pos Petugas Keamanan Mati,Lampu jalan di dekat pos petugas kemanan sering mati sehingga membuat suasana menjadi gelap dan rawan tindak kejahatan. Serta akses penglihatan menuju perumahan menjadi kurang mengenakkan
Sampah Berserakan di Pojok Perumahan Blok D,Banyak sampah berserakan di sekitar pohon di pojok blok D. Hal ini menimbulkan bau tidak sedap dan mengganggu pemandangan. Mohon segera ditindaklanjuti 
Kebisingan dari Rumah Kost Milik Bu Mila Blok A,"Penghuni rumah kost disana sering mengadakan acara hingga larut malam dengan suara musik keras, mengganggu kenyamanan warga. Mohon mungkin bisa disesuaikan lagi untuk tamu yang berkunjung ke daerah perumahan, terutama anak-anak kost"
Saluran Air Tersumbat di Selokan Blok C,"Saluran air di blok C sering tersumbat saat hujan mungkin karena sampah yang diselokan yang terkadang juga menciptakan bau tidak sedap, sehingga menyebabkan banjir kecil di jalanan ."
Banyak yang Parkir Sembarangan di Depan Belokan Blok A,"Mohon Pak ditertibkan mengenai pembatasan parkir yang sering dilakukan oleh pengunjung, waktu kemaren ada pengajian di RW sebelah banyak mobil parkir sembarangan di jalan perumahan sehingga menghalangi akses keluar masuk kendaraan warga."
Pohon Tumbang di Blok D,Ada pohon besar di blok D yang udah miring banget. Takutnya nanti tumbang dan bahaya buat orang yang lewat. Tolong segera ditangani sebelum kejadian yang gak diinginkan.
Bau Tidak Sedap dari Saluran Pembuangan di Sepanjang Selokan Blok C,"Saluran pembuangan di blok C mengeluarkan bau tidak sedap, saya harap bisa segera dicari tahu permasalahannya."
Kondisi Jalan Rusak di Gerbang Masuk Perumahaan,"Banyak bagian jalan yang rusak dan berlubang, menyebabkan kendaraan sulit lewat dan rawan kecelakaan. "
Anjing Milik Rumah Blok D 1 Sering Berkeliaran dan Mengganggu,"Anjing liar berkeliaran di perumahan. Sering banget ngejar-ngejar orang, terutama anak-anak. Mohon segera ditangani biar kita semua merasa aman."
Pencemaran Suara dari Kendaraan Bermotor,"Banyak kendaraan bermotor yang lewat dengan knalpot racing, suaranya bising banget. Mengganggu banget apalagi malam hari. Mohon ditertibkan biar lingkungan jadi lebih tenang."
Pencurian Barang di Teras,Beberapa kali barang-barang di teras hilang dicuri orang. Ini bikin kita jadi was-was ninggalin barang di luar rumah. Tolong ditingkatkan keamanannya.
Pengelolaan Sampah Kurang Baik,"Sampah sering kali tidak diangkut tepat waktu, sampai menumpuk dan bau. Ini bikin lingkungan jadi gak nyaman. Mohon pengelolaannya lebih baik lagi biar sampah terangkut tepat waktu."
Kurangnya Penerangan di Pintu Masuk Perumahan,Pintu masuk perumahan minim penerangan. Malam hari jadi gelap banget dan kelihatan gak aman. Mohon segera dipasang lampu yang cukup terang.
Minimnya Tempat Sampah di Area Umum,"Di area umum seperti taman dan jalan utama, tempat sampah sangat minim. Akibatnya, banyak warga yang buang sampah sembarangan. Mohon ditambah tempat sampah yang memadai."
Minimnya Area Hijau,"Perumahan ini minim area hijau, jadi terasa gersang dan panas. Mohon ditanami pohon atau dibuat taman kecil biar lebih sejuk dan nyaman."
Minimnya Pengawasan Anak,Banyak anak kecil main di jalan tanpa pengawasan orang tua. Ini bahaya banget terutama karena banyak kendaraan lewat. Mohon diberi pengarahan kepada orang tua.
Kurangnya Fasilitas Olahraga,Di sini kurang banget fasilitas olahraga. Kita jadi kesulitan kalau mau jogging atau olahraga lainnya. Mohon disediakan fasilitas yang memadai biar kita bisa olahraga dengan nyaman.
Kucing Liar di Blok B,Banyak kucing liar yang berkeliaran di Blok B dan sering mengotori halaman rumah. Mohon ditangani dengan baik.
Kabel Listrik Menjuntai di Blok A,"Ada beberapa kabel listrik yang menjuntai rendah di Blok A, berbahaya bagi warga. Mohon segera diperbaiki."
